"id","y_hat"
1,126.415926638014
828,109.165778541232
836,152.027141054006
567,138.85762740352
183,138.431697605488
293,113.573531896519
726,107.684105747437
629,130.290799622459
98,108.553350153246
452,115.592552323904
803,120.096763942771
223,130.394248866712
419,132.753031839139
470,98.0871364579231
693,146.730782564737
729,111.76193288904
500,111.450361752184
48,115.162938374416
811,95.6272541091377
318,97.109785939561
561,112.789192341112
842,117.111308145903
153,113.001885826721
374,94.8018913090686
129,122.759704877803
433,124.802469267177
711,134.617073765442
263,109.142046150793
384,139.253726945027
797,111.3845136349
684,118.208310288114
411,113.72714770613
809,143.002359183738
686,139.360739220217
146,136.88465768794
7,137.630460266436
277,113.531560360795
391,149.690856256852
415,116.107437542809
148,115.74606799838
253,117.240415993191
867,118.757955896935
740,112.50970514159
516,120.977256864135
563,120.003445731765
802,105.94924973
747,134.135143833188
338,121.892369039392
631,110.732649770796
109,138.632898876999
630,144.049109207207
272,118.843771668592
166,110.522569897503
611,128.095078065052
712,107.592119469331
733,138.34031833848
785,120.134987592945
621,118.131375315141
61,104.139448540225
899,117.416031998067
788,120.944518489611
514,111.472484845783
894,119.049430040931
254,93.6244712389819
701,103.124684789436
767,118.505141450422
560,107.24278523122
416,111.209272933649
191,96.4039537915265
547,105.651560833067
719,135.706165430306
780,122.631211893447
386,131.775352413473
625,143.484531440032
696,116.39929042366
668,110.971134863505
2,125.655606120464
872,121.797713184313
174,135.383081459343
473,142.434998674518
87,111.722386177505
445,130.264906851551
554,150.733701132436
152,135.25502971794
861,117.612465945514
575,110.075028282444
394,96.4884832322839
502,131.979343913003
216,94.1061637081905
380,126.09009597388
71,105.554980802718
822,136.76217696496
367,130.330915922532
392,116.926035609547
606,137.689212459642
100,127.554378114461
232,120.432376816565
308,124.098214643353
438,93.2395709465235
695,102.970493043731
127,121.419770584668
758,117.802304660469
49,121.548620702572
585,127.432635933169
90,100.337397167802
247,143.309587646703
20,114.348050501098
566,118.625186077136
648,92.1885553411351
86,109.943264127701
576,140.204870436763
716,100.884327843563
424,130.712343002794
777,120.64533103078
565,77.7412572325599
390,155.199959644447
775,119.595935395551
725,120.268921760446
24,132.008694272048
300,125.640519115101
746,105.35333281441
41,133.948087905602
332,141.883068618327
365,157.530712352018
493,140.094902261949
256,130.906781493233
344,129.093602846823
186,140.164159069465
401,134.850338842986
732,145.656042325879
640,156.557392441775
888,112.928255339063
60,136.709416405157
535,119.945593677891
463,120.534446359695
425,115.760830771814
751,156.972858192754
494,109.481195810834
892,128.310363547912
687,137.119651389858
215,135.634072891271
316,117.130990077266
762,125.294038874231
649,122.503685280284
317,113.108694591938
94,140.421366579586
140,95.9512316959825
498,96.8058619117956
570,156.716064108581
816,114.486754486202
506,145.361119656882
444,123.692064167345
599,124.313807084612
615,134.642004825082
497,111.3428550222
151,125.070755994717
439,111.96435024337
236,118.294902838868
680,122.07620524514
636,148.128062904309
781,123.881208425722
287,131.335005923463
242,132.345695078618
495,103.575641868854
799,143.054128284436
418,142.601867758443
879,105.446185279914
406,135.144279718524
63,121.082896734855
75,105.130811467656
738,118.838842967849
238,140.379136086336
491,137.108846144084
573,113.28562175553
605,138.997078171013
91,130.618010015773
774,122.20402525796
304,130.999341427204
428,104.270233897085
29,105.864515266034
877,98.3219551371386
377,105.888184659959
778,102.952355062559
698,128.662585495144
632,100.585072885476
600,139.592482131998
896,141.716818840751
522,124.30124912933
267,117.80911320225
274,107.649719938954
319,121.918237054639
356,96.280774482058
50,109.994441226406
202,134.378687775551
218,101.150537143849
817,121.748089635865
104,110.125720526788
620,123.600835549207
783,153.373426053891
512,133.623785566277
198,120.313751197512
320,102.230828936537
15,125.437456558255
157,120.999804058117
412,124.181878914243
279,116.77896211477
545,108.979105394877
324,127.718361552284
420,117.314707681601
180,95.0408078586063
677,101.057800104278
841,123.747517646903
47,99.2641388741605
379,97.3475779281383
299,152.844220536624
857,91.7333683576242
28,119.113619283404
584,118.210015715915
184,118.676329294453
789,137.360670144532
761,102.556994962742
133,110.532559000055
251,145.120001113783
154,104.750765816596
164,138.054241389549
158,95.6637900652677
181,121.632414877109
864,110.961462892815
271,110.190553382085
373,119.274182285055
13,139.149274181877
583,133.50809658837
76,130.609866271677
735,129.365860367845
786,119.393800941911
303,125.161742274529
388,101.508770163759
331,147.707149773304
820,84.6272976788621
422,115.766765426855
489,124.777932384333
82,154.409506786862
382,129.150701467321
321,102.83477521844
196,142.339901590514
37,138.924768838422
513,128.793286643721
490,150.376231991443
441,127.365895622172
212,93.7804743523992
